enter,EXIT,1,2,3,4,5
ALOR PONGSU Toll,BANDAR BAHARU Toll,0.57,1.1,1.5,0.33,0.49
ALOR PONGSU Toll,BUKIT MERAH Toll,1.64,3,3.9,0.82,1.23
ALOR PONGSU Toll,JAWI Toll,2.13,3.9,5.2,1.07,1.56
ALOR PONGSU Toll,TAIPING UTARA Toll,2.87,5.3,7.1,1.48,2.21
ALOR PONGSU Toll,BKT. TAMBUN UTARA Toll,3.44,6.3,8.4,1.72,2.62
ALOR PONGSU Toll,JURU Toll,4.18,7.6,10.2,2.13,3.12
ALOR PONGSU Toll,CANGKAT JERING Toll,4.51,8.3,11,2.3,3.36
ALOR PONGSU Toll,BERTAM Toll,5.49,9.9,13.3,2.86,4.72
ALOR PONGSU Toll,KUALA KANGSAR Toll,6.97,12.7,17,3.53,5.25
ALOR PONGSU Toll,SG. PETANI SELATAN Toll,7.13,12.9,17.2,3.68,5.41
ALOR PONGSU Toll,SG. PETANI UTARA Toll,7.87,14.2,19,4.01,5.9
ALOR PONGSU Toll,IPOH UTARA Toll,9.68,17.7,23.7,4.84,7.3
ALOR PONGSU Toll,GURUN Toll,9.67,17.6,23.5,5,7.3
ALOR PONGSU Toll,SIMPANG PULAI Toll,11.15,20.4,27.2,5.58,8.36
ALOR PONGSU Toll,PENDANG Toll,11.88,21.6,28.8,6.06,8.94
ALOR PONGSU Toll,GOPENG Toll,12.3,22.4,29.9,6.15,9.18
ALOR PONGSU Toll,Alor Setar Selatan Toll,13.52,24.6,32.8,6.88,10.62
ALOR PONGSU Toll,Alor Setar Utara Toll,14.18,25.7,34.3,7.21,10.66
ALOR PONGSU Toll,Hutan Kampung Toll,14.84,27,36,7.54,11.42
ALOR PONGSU Toll,TAPAH Toll,15.58,28.5,38.1,7.79,11.73
ALOR PONGSU Toll,BIDOR Toll,17.14,31.3,41.7,8.53,12.87
ALOR PONGSU Toll,SUNGKAI Toll,18.61,34.1,45.4,9.35,13.94
ALOR PONGSU Toll,SLIM RIVER Toll,20.75,37.9,50.6,10.33,15.58
ALOR PONGSU Toll,BEHRANG Toll,22.39,41,54.7,11.23,16.81
ALOR PONGSU Toll,Tg. Malim Toll,24.03,43.9,58.6,12.05,18.04
ALOR PONGSU Toll,LEMBAH BERINGIN Toll,25.01,45.8,61,12.55,18.78
ALOR PONGSU Toll,BUKIT TAGAR Toll,26.08,47.6,63.5,13.04,19.52
ALOR PONGSU Toll,BUKIT BERUNTUNG Toll,26.98,49.3,65.8,13.53,20.25
ALOR PONGSU Toll,SUNGAI BUAYA Toll,27.8,50.8,67.7,13.86,20.83
ALOR PONGSU Toll,RAWANG Toll,28.7,52.5,70,14.35,21.57
ALOR PONGSU Toll,RAWANG SELATAN Toll,29.19,53.4,71.2,14.6,21.89
ALOR PONGSU Toll,SG. BULOH HOSPITAL Toll,29.85,54.6,72.9,14.92,22.39
ALOR PONGSU Toll,SG. BULOH Toll,30.09,55.1,73.4,15.09,22.55
ALOR PONGSU Toll,KOTA DAMANSARA Toll,30.75,56.3,75,15.42,23.12
ALOR PONGSU Toll,DAMANSARA Toll,31.24,57.1,76.1,15.58,23.45
ALOR PONGSU Toll,Jalan Duta Toll,31.41,57.4,76.5,15.66,23.53
ALOR PONGSU Toll,SUBANG Toll,31.41,57.4,76.5,15.66,23.53
ALOR PONGSU Toll,Shah Alam Toll,31.98,58.4,77.9,15.99,23.94
ALOR PONGSU Toll,Seafield Toll,32.64,59.7,79.6,16.32,24.44
ALOR PONGSU Toll,Setia Alam Toll,32.88,60.2,80.2,16.48,24.68
ALOR PONGSU Toll,USJ Toll,33.05,60.4,80.5,16.48,24.76
ALOR PONGSU Toll,Bukit Raja Toll,33.05,60.5,80.6,16.56,24.76
ALOR PONGSU Toll,PUTRA HEIGHTS Toll,33.54,61.4,81.8,16.81,25.17
