Enter,Exit,Class 1,Class 2,Class 3,Class 4,Class 5
BERUAS TOLL,CHANGKAT CERMIN TOLL,3.6,7.2,10.9,1.8,2.7
BERUAS TOLL,KG LEKIR TOLL,7.9,15.7,23.6,3.9,5.9
BERUAS TOLL,SETIAWAN TOLL,7.3,14.6,21.9,3.7,5.5
BERUAS TOLL,SETIAWAN (N) TOLL,5.8,11.6,17.4,2.9,4.4
CHANGKAT CERMIN TOLL,BERUAS TOLL,3.6,7.2,10.9,1.8,2.7
CHANGKAT CERMIN TOLL,KG LEKIR TOLL,4.7,9.5,14.2,2.4,3.6
CHANGKAT CERMIN TOLL,SETIAWAN TOLL,4.2,8.3,12.5,2.1,3.1
CHANGKAT CERMIN TOLL,SETIAWAN (N) TOLL,2.7,5.3,8,1.3,2
HUTAN MELINTANG TOLL,TELUK INTAN TOLL,2.9,5.8,8.7,1.5,2.2
KG LEKIR TOLL,BERUAS TOLL,7.9,15.7,23.6,3.9,5.9
KG LEKIR TOLL,CHANGKAT CERMIN TOLL,4.7,9.5,14.2,2.4,3.6
KG LEKIR TOLL,SETIAWAN TOLL,2,4,6,1,1.5
KG LEKIR TOLL,SETIAWAN (N) TOLL,2.8,5.6,8.4,1.4,2.1
SETIAWAN TOLL,BERUAS TOLL,7.3,14.6,21.9,3.7,5.5
SETIAWAN TOLL,CHANGKAT CERMIN TOLL,4.2,8.3,12.5,2.1,3.1
SETIAWAN TOLL,KG LEKIR TOLL,2,4,6,1,1.5
SETIAWAN TOLL,SETIAWAN (N) TOLL,2.2,4.5,6.7,1.1,1.7
SETIAWAN (N) TOLL,BERUAS TOLL,5.8,11.6,17.4,2.9,4.4
SETIAWAN (N) TOLL,CHANGKAT CERMIN TOLL,2.7,5.3,8,1.3,2
SETIAWAN (N) TOLL,KG LEKIR TOLL,2.8,5.6,8.4,1.4,2.1
SETIAWAN (N) TOLL,SETIAWAN TOLL,2.2,4.5,6.7,1.1,1.7
TELUK INTAN TOLL,HUTAN MELINTANG TOLL,2.9,5.8,8.7,1.5,2.2
AMPANGAN TOLL,AMPANGAN TOLL,2.3,3.5,4.7,1.2,1.5
ECO MAJESTIC TOLL,KAJANG SELATAN TOLL,2,3,4,1,1.5
ECO MAJESTIC TOLL,MANTIN TOLL,2.9,4.3,5.7,1.4,2.1
ECO MAJESTIC TOLL,PAJAM TOLL,1.4,2.1,2.7,0.7,1
ECO MAJESTIC TOLL,SEMENYIH TOLL,1.4,2.1,2.8,0.7,1
ECO MAJESTIC TOLL,SETUL TOLL,3.9,5.9,7.8,2,2.9
KAJANG SELATAN TOLL,ECO MAJESTIC TOLL,2,3,4,1,1.5
KAJANG SELATAN TOLL,MANTIN TOLL,4.8,7.3,9.7,2.4,3
KAJANG SELATAN TOLL,PAJAM TOLL,3.4,5.1,6.7,1.7,2.1
KAJANG SELATAN TOLL,SEMENYIH TOLL,1.3,1.9,2.5,0.6,0.8
KAJANG SELATAN TOLL,SETUL TOLL,6,9,11.9,3,3.7
MANTIN TOLL,ECO MAJESTIC TOLL,2.9,4.3,5.7,1.4,2.1
MANTIN TOLL,KAJANG SELATAN TOLL,4.8,7.3,9.7,2.4,3
MANTIN TOLL,PAJAM TOLL,2,3,4,1,1.2
MANTIN TOLL,SEMENYIH TOLL,4.3,6.4,8.5,2.1,2.6
MANTIN TOLL,SETUL TOLL,1.8,2.7,3.6,0.9,1.1
PAJAM TOLL,ECO MAJESTIC TOLL,1.4,2.1,2.7,0.7,1
